window,n_families,model,reference,metric,estimate,ci95_lo,ci95_hi
le50,231,year_plus_pitch_movement,,roc_auc,0.5825,0.5080,0.6544
le50,231,year_plus_pitch_movement,,log_loss,0.6908,0.6608,0.7251
le50,231,combined,,pairwise_accuracy,0.5801,0.5216,0.6385
le50,231,combined,,roc_auc,0.6232,0.5503,0.6911
le50,231,combined,,log_loss,0.6837,0.6515,0.7201
le50,231,year_plus_combined,,pairwise_accuracy,0.5173,0.4545,0.5823
le50,231,year_plus_combined,,roc_auc,0.5915,0.5146,0.6628
le50,231,year_plus_combined,,log_loss,0.6932,0.6550,0.7385
le50,231,compact,,pairwise_accuracy,0.5823,0.5195,0.6407
le50,231,compact,,roc_auc,0.6360,0.5592,0.7068
le50,231,compact,,log_loss,0.6807,0.6486,0.7168
le50,231,year_plus_compact,,pairwise_accuracy,0.5390,0.4740,0.6017
le50,231,year_plus_compact,,roc_auc,0.6239,0.5458,0.6928
le50,231,year_plus_compact,,log_loss,0.6824,0.6512,0.7172
le50,231,pitch_movement,year_only,d_pairwise_accuracy,0.1234,0.0433,0.2013
le50,231,pitch_movement,year_only,d_roc_auc,0.1453,0.0475,0.2388
le50,231,pitch_movement,year_only,d_log_loss,-0.0097,-0.0399,0.0235
le50,231,year_plus_pitch_movement,year_only,d_pairwise_accuracy,0.0584,-0.0130,0.1256
le50,231,year_plus_pitch_movement,year_only,d_roc_auc,0.1027,0.0206,0.1851
le50,231,year_plus_pitch_movement,year_only,d_log_loss,-0.0043,-0.0340,0.0297
le50,231,combined,year_only,d_pairwise_accuracy,0.1082,0.0302,0.1818
le50,231,combined,year_only,d_roc_auc,0.1433,0.0442,0.2400
le50,231,combined,year_only,d_log_loss,-0.0114,-0.0440,0.0255
le50,231,year_plus_combined,year_only,d_pairwise_accuracy,0.0455,-0.0303,0.1191
le50,231,year_plus_combined,year_only,d_roc_auc,0.1117,0.0175,0.2028
le50,231,year_plus_combined,year_only,d_log_loss,-0.0020,-0.0410,0.0431
le50,231,compact,year_only,d_pairwise_accuracy,0.1104,0.0260,0.1905
le50,231,compact,year_only,d_roc_auc,0.1562,0.0476,0.2548
le50,231,compact,year_only,d_log_loss,-0.0145,-0.0481,0.0224
le50,231,year_plus_compact,year_only,d_pairwise_accuracy,0.0671,-0.0065,0.1407
le50,231,year_plus_compact,year_only,d_roc_auc,0.1441,0.0510,0.2327
le50,231,year_plus_compact,year_only,d_log_loss,-0.0128,-0.0429,0.0207
le75,323,year_only,,pairwise_accuracy,0.5542,0.5000,0.6084
le75,323,year_only,,roc_auc,0.5523,0.4891,0.6183
le75,323,year_only,,log_loss,0.6885,0.6799,0.6967
le75,323,pitch_movement,,pairwise_accuracy,0.6455,0.5959,0.6951
le75,323,pitch_movement,,roc_auc,0.6992,0.6407,0.7558
le75,323,pitch_movement,,log_loss,0.6552,0.6172,0.6944
le75,323,year_plus_pitch_movement,,pairwise_accuracy,0.6563,0.6068,0.7059
le75,323,year_plus_pitch_movement,,roc_auc,0.7030,0.6466,0.7585
le75,323,year_plus_pitch_movement,,log_loss,0.6508,0.6122,0.6925
le75,323,combined,,pairwise_accuracy,0.6300,0.5789,0.6811
le75,323,combined,,roc_auc,0.6886,0.6299,0.7462
le75,323,combined,,log_loss,0.6688,0.6406,0.6998
le75,323,year_plus_combined,,pairwise_accuracy,0.6780,0.6254,0.7307
le75,323,year_plus_combined,,roc_auc,0.7030,0.6458,0.7613
le75,323,year_plus_combined,,log_loss,0.6539,0.6317,0.6759
le75,323,compact,,pairwise_accuracy,0.6316,0.5820,0.6811
le75,323,compact,,roc_auc,0.6682,0.6107,0.7265
le75,323,compact,,log_loss,0.6653,0.6442,0.6865
le75,323,year_plus_compact,,pairwise_accuracy,0.6610,0.6130,0.7167
