file,form,group,n,rep,rng,gap,zrep,zrng,zgap,core,aug
acem--ilahi--duyek--aldanma_dunya--zekai_dede.txt,ilahi,vocal,266,0.12830188679245283,14.037735849056604,0.026415094339622643,-0.34076705229607585,-0.57728203710474,-0.21968584121185686,0.23651498480866417,0.016829143596807317
acem--ilahi--nimevsat--calabim_bir--haci_bayram_veli.txt,ilahi,vocal,266,0.2,16.07547169811321,0.011320754716981131,0.563018810428838,-0.23493541799859222,-0.7284574939352095,0.7979542284274301,0.0694967344922206
acem--selam--devrikebir--asik-i_ger--huseyin_fahreddin_dede.txt,selam,vocal,1123,0.1746880570409982,18.79245283018868,0.0338680926916221,0.2439507738931543,0.22152674080960472,0.03152583045368436,0.022424033083549594,0.05394986353723395
acem--turku--duyek--ordunun_dereleri--ordu.txt,turku,vocal,492,0.31771894093686354,9.962264150943396,0.02240325865580448,2.0469171981828844,-1.2619752753170357,-0.35490926418618995,3.3088924734999203,2.9539832093137304
acemasiran--aranagme--agiraksak--1--.txt,aranagme,flagged,148,0.034013605442176874,24.0,0.02040816326530612,-1.5293117976554054,1.0964125451919824,-0.42215619280584415,-2.6257243428473878,-3.047880535653232
acemasiran--aranagme--aksak--1--.txt,aranagme,flagged,65,0.03125,16.9811320754717,0.0,-1.564148244767464,-0.08278136506252656,-1.1100362334777238,-1.4813668797049373,-2.591403113182661
acemasiran--aranagme--curcuna--1--.txt,aranagme,flagged,124,0.11382113821138211,17.88679245283019,0.024390243902439025,-0.5233031786145009,0.06937268787353908,-0.2879356970649895,-0.59267586648804,-0.8806115635530296
acemasiran--aranagme--semai--1--.txt,aranagme,flagged,101,0.25,21.056603773584907,0.0,1.1932905304870014,0.6019118731497691,-1.1100362334777238,0.5913786573372323,-0.5186575761404916
acemasiran--aranagme--senginsemai--1--.txt,aranagme,flagged,162,0.07453416149068323,21.962264150943398,0.018633540372670808,-1.0185325864872992,0.7540659260858348,-0.48197184851644237,-1.772598512573134,-2.254570361089576
acemasiran--aranagme--sofyan--1--.txt,aranagme,flagged,74,0.2602739726027397,12.90566037735849,0.0958904109589041,1.3227984181701855,-0.7674746032748223,2.1220576562545324,2.090273021445008,4.212330677699541
acemasiran--aranagme--yuruksemai--1--.txt,aranagme,flagged,82,0.1111111111111111,16.07547169811321,0.06172839506172839,-0.5574642474523418,-0.23493541799859222,0.9705885809001839,-0.3225288294537496,0.6480597514464342
acemasiran--beste--devrikebir--ber_kusa-yi--basmaci_abdi_efendi.txt,beste,vocal,550,0.18214936247723132,21.962264150943398,0.061930783242258654,0.33800377011663363,0.7540659260858348,0.9774103016030624,-0.41606215596920115,0.5613481456338613
acemasiran--beste--zencir--hayatin_cumleye--dellalzade_haci_ismail_efendi.txt,beste,vocal,603,0.19435215946843853,21.962264150943398,0.07973421926910298,0.4918253271000087,0.7540659260858348,1.577495088217062,-0.2622405989858261,1.315254489231236
acemasiran--fantezi--yuruksemai_ii--ey_benim--resat_erer.txt,fantezi,vocal,490,0.09815950920245399,26.943396226415093,0.006134969325153374,-0.7207248157019001,1.5909132172341955,-0.9032502089812693,-2.3116380329360955,-3.2148882419173646
acemasiran--ilahi--muhammes--ta_dil--calakzade_mustafa_efendi.txt,ilahi,vocal,371,0.12972972972972974,24.0,0.0,-0.3227684718150675,1.0964125451919824,-1.1100362334777238,-1.41918101700705,-2.529217250484774
acemasiran--mars--nimsofyan--korkma_sonmez--ali_rifat_cagatay.txt,mars,flagged,140,0.02877697841726619,16.9811320754717,0.04316546762589928,-1.595321756101276,-0.08278136506252656,0.3449042842023672,-1.5125403910387494,-1.1676361068363823
acemasiran--nakis--yuruksemai--ne_hevayi--dede_efendi.txt,nakis,vocal,742,0.203778677462888,24.0,0.05128205128205128,0.6106506813104265,1.0964125451919824,0.6184828430823841,-0.48576186388155584,0.13272097920082826
acemasiran--pesrev--devrikebir----dede_salih_efendi.txt,pesrev,instrumental,322,0.10903426791277258,26.037735849056602,0.08722741433021806,-0.5836437581505001,1.4387591642981299,1.8300616350637682,-2.02240292244863,-0.19234128738486178
acemasiran--pesrev--duyek--son_pesrev--huseyin_fahreddin_dede.txt,pesrev,instrumental,235,0.06837606837606838,26.037735849056602,0.02564102564102564,-1.0961580252798317,1.4387591642981299,-0.24577669519766987,-2.5349171895779614,-2.7806938847756313
acemasiran--pesrev--frenkcin----nuri_halil_poyraz.txt,pesrev,instrumental,618,0.04376012965964344,21.962264150943398,0.011345218800648298,-1.4064526259927816,0.7540659260858348,-0.7276329045466788,-2.1605185520786163,-2.888151456625295
acemasiran--pesrev--muhammes----gazi_giray_han.txt,pesrev,instrumental,270,0.10780669144981413,26.037735849056602,0.0,-0.599117892726735,1.4387591642981299,-1.1100362334777238,-2.0378770570248648,-3.1479132905025886
