family,vocal_id,instr_id,transposition,n_anchors,q1a_leapstep_asym,q1b_repins_vocal,q1b_repins_instr,q1b_repins_asym,q2_ins_rate_vocal,q2_ins_rate_instr,q2_len_diff,q2_gap_asym,q3_prerun_gap_minus_nongap,q4_register_slope,q5_beatstrength_rel,q5_phrase_end_coincidence,q6_insint_vocal,q6_insint_instr,quality
1825_0,NLB125380_01,NLB125817_01,-4,71,0.0,nan,nan,nan,0.0,0.0,0,0.02857142857142857,2.5994623655913975,-2.896713615023473,0.10739436619718312,0.8873239436619719,nan,nan,0.9014084507042254
1825_0,NLB125380_01,NLB125918_01,-4,70,0.0,0.0,nan,nan,0.014285714285714285,0.0,1,0.0,nan,-0.0685165404606948,nan,nan,3.0,nan,0.9571428571428572
1825_0,NLB125380_01,NLB125972_01,-4,52,0.0,0.05263157894736842,nan,nan,0.36538461538461536,0.0,19,0.058823529411764705,2.0614754098360657,-0.1100117917057123,0.6073943661971831,0.6373239436619719,3.0,nan,0.9807692307692307
1825_0,NLB125380_01,NLB180770_01,1,50,0.0,0.047619047619047616,nan,nan,0.42,0.0,21,0.04081632653061224,-0.20833333333333348,0.16699202374210198,0.16989436619718312,-0.11267605633802817,3.238095238095238,nan,0.98
1825_0,NLB111342_01,NLB125817_01,-5,52,0.0196078431372549,nan,0.05263157894736842,nan,0.0,0.36538461538461536,-19,-0.0196078431372549,0.6956521739130439,-0.8817126269956461,0.22115384615384615,0.8846153846153846,nan,3.3684210526315788,0.9230769230769231
1825_0,NLB111342_01,NLB125918_01,-5,52,0.0,nan,0.16666666666666666,nan,0.0,0.34615384615384615,-18,-0.058823529411764705,nan,0.17634252539912912,nan,nan,nan,2.888888888888889,0.9038461538461539
1825_0,NLB111342_01,NLB125972_01,-5,51,0.0,0.0,0.0,0.0,0.0196078431372549,0.0196078431372549,0,0.02,0.4456521739130439,-0.29356179463174253,0.5961538461538461,0.8846153846153846,4.0,4.0,0.9230769230769231
1825_0,NLB111342_01,NLB180770_01,0,50,0.02040816326530612,0.0,nan,nan,0.04,0.0,2,-0.02040816326530612,nan,-0.3960978998917068,nan,nan,3.5,nan,0.92
6551_0,NLB127012_01,NLB125818_01,-7,81,-0.025,0.0,0.0,0.0,0.012345679012345678,0.012345679012345678,0,0.025,1.173333333333333,-3.1807256116374787,0.11814024390243905,0.9024390243902439,4.0,2.0,0.5975609756097561
6551_0,NLB127012_01,NLB180767_01,0,81,0.0375,0.0,0.0,0.0,0.012345679012345678,0.024691358024691357,-1,0.0,1.423333333333333,-1.6315461811624048,0.11814024390243905,0.9024390243902439,3.0,1.5,0.9024390243902439
6551_0,NLB139364_01,NLB125818_01,-7,81,-0.025,0.0,0.0,0.0,0.012345679012345678,0.012345679012345678,0,0.0375,2.441441441441441,-3.1807256116374787,0.11890243902439024,0.9024390243902439,4.0,2.0,0.5975609756097561
6551_0,NLB139364_01,NLB180767_01,0,81,0.0375,0.0,0.0,0.0,0.012345679012345678,0.024691358024691357,-1,0.0125,2.608108108108108,-1.6315461811624048,0.11890243902439024,0.9024390243902439,3.0,1.5,0.9024390243902439
6551_0,NLB111347_01,NLB125818_01,-7,82,-0.06172839506172839,0.0,nan,nan,0.012195121951219513,0.0,1,-0.012345679012345678,11.721518987341772,-2.1094457943975473,0.12198795180722893,0.9036144578313253,4.0,nan,0.6219512195121951
6551_0,NLB111347_01,NLB180767_01,0,83,0.0,nan,nan,nan,0.0,0.0,0,-0.036585365853658534,11.721518987341772,-0.17039586919105,0.12198795180722893,0.9036144578313253,nan,nan,0.9759036144578314
6551_0,NLB111347_02,NLB125818_01,-7,81,-0.0625,0.0,0.0,0.0,0.012345679012345678,0.012345679012345678,0,0.0,4.311688311688311,-3.796694034512083,0.11890243902439024,0.9024390243902439,4.0,2.0,0.5975609756097561
6551_0,NLB111347_02,NLB180767_01,0,81,0.0,0.0,0.0,0.0,0.012345679012345678,0.024691358024691357,-1,-0.025,12.311688311688311,-2.1886798543932495,0.11890243902439024,0.9024390243902439,3.0,1.5,0.926829268292683
7891_0,NLB126414_01,NLB125823_01,-4,57,0.017857142857142856,0.13333333333333333,0.0,0.13333333333333333,0.5263157894736842,0.017543859649122806,29,0.08928571428571429,0.9890350877192979,-0.8720196868025895,0.10488505747126442,0.3620689655172414,2.6333333333333333,2.0,0.896551724137931
7891_0,NLB126414_01,NLB126276_01,-2,57,0.0,0.16666666666666666,nan,nan,0.5263157894736842,0.0,30,0.05357142857142857,3.155701754385966,-0.2065786905673409,0.06321839080459779,-0.13793103448275862,2.7333333333333334,nan,0.9824561403508771
